Index,Year,"Rank Order","Country code",Country or Area,City code,Urban Agglomeration,Note,Latitude,Longitude,Population (millions)
67,1960,7,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,6.7 618 37 0
68,1960,8,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,6.5 296 38 0
69,1960,9,840,United States of America,22956,Chicago,,41.8500,-87.6501,6.1 831 53 0
70,1960,10,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,6.1 699 61 0
71,1960,11,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,5.9 102 1 0
72,1960,12,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,5.4 791 84 0
73,1960,13,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,4.4 931 82 0
74,1960,14,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,4.4 149 04 0
75,1960,15,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,4.2 967 36 0
76,1960,16,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,3.9 697 59 0
77,1960,17,840,United States of America,23098,Philadelphia,,39.9523,-75.1638,3.9 300 26 0
78,1960,18,156,China,20464,Beijing,11,39.9075,116.3972,3.9 004 41 0
79,1960,19,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,3.6 801 6 0
80,1960,20,840,United States of America,22974,Detroit,,42.3871,-83.1026,3.5 478 79 0
81,1960,21,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),,59.9299,30.3262,3.3 984 57 0
82,1960,22,276,Germany,204296,Berlin,,52.5244,13.4105,3.2 598 33 0
83,1960,23,156,China,20689,Tianjin,5,39.1088,117.1886,2.9 351 85 0
84,1960,24,840,United States of America,22939,Boston,,42.3479,-71.0645,2.8 179 95 0
85,1960,25,156,China,20666,Shenyang,5,41.7922,123.4328,2.6 989 83 0
86,1960,26,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,,33.6064,130.4181,2.6 807 8 0
87,1960,27,360,Indonesia,21454,Jakarta,13,-6.2118,106.8416,2.6 787 4 0
88,1960,28,344,"China, Hong Kong SAR",21137,Hong Kong,12,22.2796,114.1887,2.6 115 39 0
89,1960,29,724,Spain,22525,Barcelona,,41.3888,2.1590,2.4 679 26 0
90,1960,30,380,Italy,21588,Roma (Rome),9,41.8947,12.4811,2.4 555 81 0
91,1965,1,392,Japan,21671,Tokyo,1,35.6895,139.6917,20.2 843 71 0
92,1965,2,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,15.1 767 58 0
93,1965,3,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,13.0 653 22 0
94,1965,4,826,United Kingdom,22860,London,2,51.5085,-0.1257,7.8 685 06 0
95,1965,5,250,France,20985,Paris,,48.8534,2.3488,7.8 551 85 0
96,1965,6,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,7.5 485 11 0
97,1965,7,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,7.4 076 34 0
98,1965,8,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,6.9 691 57 0
98,1965,8,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,6.9 691 57 0
99,1965,9,840,United States of America,22956,Chicago,,41.8500,-87.6501,6.6 388 74 0
100,1965,10,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,6.6 217 8 0
101,1965,11,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,6.5 893 84 0
102,1965,12,156,China,20656,Shanghai,5,31.2222,121.4581,6.4 281 31 0
103,1965,13,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,5.9 542 67 0
104,1965,14,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,5.5 226 74 0
105,1965,15,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,5.4 941 5 0
106,1965,16,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,5.3 143  0
107,1965,17,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,4.7 379 68 0
108,1965,18,156,China,20464,Beijing,11,39.9075,116.3972,4.5 820 17 0
109,1965,19,840,United States of America,23098,Philadelphia,,39.9523,-75.1638,4.1 606 34 0
110,1965,20,840,United States of America,22974,Detroit,,42.3871,-83.1026,3.7 586 62 0
111,1965,21,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,,33.6064,130.4181,3.7 049 47 0
112,1965,22,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),,59.9299,30.3262,3.6 770 61 0
113,1965,23,410,Republic of Korea,21758,Seoul,14,37.5683,126.9778,3.4 521 23 0
114,1965,24,360,Indonesia,21454,Jakarta,13,-6.2118,106.8416,3.2 969 64 0
115,1965,25,276,Germany,204296,Berlin,,52.5244,13.4105,3.2 322 53 0
116,1965,26,156,China,20689,Tianjin,5,39.1088,117.1886,3.1 206 2 0
117,1965,27,344,"China, Hong Kong SAR",21137,Hong Kong,12,22.2796,114.1887,3.0 154 35 0
118,1965,28,840,United States of America,22939,Boston,,42.3479,-71.0645,3.0 002 75 0
119,1965,29,724,Spain,22525,Barcelona,,41.3888,2.1590,2.9 295 23 0
120,1965,30,156,China,20666,Shenyang,5,41.7922,123.4328,2.9 239 68 0
121,1970,1,392,Japan,21671,Tokyo,1,35.6895,139.6917,23.2 975 03 0
122,1970,2,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,16.1 911 8 0
123,1970,3,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,15.2 715 1 0
124,1970,4,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,8.8 309 47 0
125,1970,5,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,8.4 161 7 0
126,1970,6,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,8.3 776 85 0
127,1970,7,250,France,20985,Paris,,48.8534,2.3488,8.2 081 21 0
128,1970,8,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,7.6 204 9 0
129,1970,9,826,United Kingdom,22860,London,2,51.5085,-0.1257,7.5 094 05 0
130,1970,10,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,7.3 293 72 0
131,1970,11,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,7.1 064 57 0
